time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1.0,"(61.04883988373079, 53.01070820980194)","(216.98917510393719, 96.0488141539436)","(1086.0495430854753, 187.0067440849338)","(861.9858916838004, 42.04796827507857)","(327.0353820929934, 859.9646714351352)","(57.049971590952566, 576.9983147410676)","(9.041147170112131, 692.9715938318008)","(615.0496967602836, 511.00549836496754)","(993.9698265334979, 705.9601306895063)","(884.0494261535986, 933.0075534985566)"
2.0,"(61.097679767461585, 53.02141641960388)","(216.97835020787437, 96.09762830788719)","(1086.1464370912802, 186.99742920527032)","(861.9895278493748, 42.142681960269506)","(327.0886772124731, 859.8826617875698)","(57.09994318190513, 576.9966294821352)","(9.082294340224262, 692.9431876636015)","(615.0906336208195, 511.0602233909676)","(993.9249774008304, 705.9203300360588)","(884.0513841858477, 932.9993978451452)"
3.0,"(61.19535953492318, 53.04283283920776)","(216.95670041574877, 96.1952566157744)","(1086.290676410648, 186.9720388385657)","(862.0109186652023, 42.28413719436919)","(327.1598771323602, 859.7539679015252)","(57.199886363810265, 576.9932589642704)","(9.164588680448524, 692.886375327203)","(615.1227415114757, 511.16416273694534)","(993.8803525138262, 705.8807283858785)","(884.0058712281732, 932.9755417103505)"
4.0,"(61.243617052968176, 53.0566702573864)","(216.97932053737614, 96.26964326416184)","(1086.4822554098625, 186.9305564020116)","(862.0500743158967, 42.472330107510004)","(327.19526153831623, 859.7186416532793)","(57.24985795476283, 576.9915737053379)","(9.29554293002424, 692.8180645899632)","(615.1459238703521, 511.31729898203724)","(993.8359507512571, 705.841324743949)","(883.9128836068152, 932.9359962062842)"
5.0,"(61.2424542377446, 53.062916189569286)","(217.04616216554504, 96.32069628104456)","(1086.7211684192057, 186.8729652260553)","(862.1070050095476, 42.70725681835543)","(327.26603035022833, 859.6479891567873)","(57.34980113666796, 576.9882031874731)","(9.475187052884612, 692.7383830022924)","(615.1600196097648, 511.51960262838975)","(993.7917709975007, 705.8021181202292)","(883.772416195919, 932.8807768518483)"
6.0,"(61.19187426778185, 53.06154997241812)","(217.15715841902886, 96.34828935199174)","(1086.9641150591115, 186.8139997263241)","(862.1669013612855, 42.94997564137602)","(327.3014147561844, 859.6126629085413)","(57.39977272762053, 576.9865179285407)","(9.672811117620189, 692.6546910872809)","(615.169219511716, 511.7470046152478)","(993.7478121425132, 705.7631075296281)","(883.5844604809256, 932.8099094632241)"
7.0,"(61.11591489644294, 53.05624222255603)","(217.31220094207453, 96.3522196644842)","(1087.2070616990172, 186.75503422659293)","(862.2267977130233, 43.19269446439661)","(327.3721835680965, 859.5420104120493)","(57.49971590952566, 576.9831474106759)","(9.869447062032087, 692.5714176318445)","(615.1783734141575, 511.97326959217156)","(993.7040730818006, 705.72429199198)","(883.371538178521, 932.730859915908)"
8.0,"(61.040335321960725, 53.05096101144325)","(217.49563993736416, 96.34045856616177)","(1087.450008338923, 186.69606872686174)","(862.2866940647612, 43.4354132874172)","(327.4546615211399, 859.4227482867378)","(57.55434613520043, 577.0009130229598)","(10.065099826721926, 692.4885605436853)","(615.1874815470867, 512.1984032442107)","(993.6605527163916, 705.68567053202)","(883.1596804876283, 932.6522056163285)"
9.0,"(60.965133645350924, 53.045706206386036)","(217.67816173767733, 96.32875627333097)","(1087.6929549788288, 186.63710322713055)","(862.346590416499, 43.67813211043779)","(327.54882695504733, 859.2548713201631)","(57.57157440452443, 577.035908457845)","(10.259774327588318, 692.4061177409668)","(615.1965441393512, 512.4224112279896)","(993.6172499528096, 705.64724217936)","(882.9488820851901, 932.5739445882468)"
10.0,"(60.890307977124166, 53.040477675354104)","(217.85977092898895, 96.31711249196431)","(1087.9359016187345, 186.57813772739937)","(862.4064867682368, 43.920850933458375)","(327.654658147223, 859.0383742951349)","(57.58871653250181, 577.0707289155558)","(10.453475455950375, 692.324087152262)","(615.2055614186545, 512.6452991718497)","(993.5741637030455, 705.6090059684632)","(882.7391376747642, 932.4960748653056)"
11.0,"(60.815856437238544, 53.03527528697733)","(218.040472074344, 96.30552692950448)","(1088.1788482586403, 186.51917222766818)","(862.4663831199747, 44.163569756478964)","(327.7626397605659, 858.8128970874621)","(57.605772949839306, 577.105375270978)","(10.646208078670623, 692.2424667165006)","(615.2145336115613, 512.8670726759905)","(993.5312928845303, 705.5709609386208)","(882.5304419863903, 932.418594490979)"
12.0,"(60.741777155052354, 53.03009891054244)","(218.22026971397227, 96.29399929485696)","(1088.421794898546, 186.460206727937)","(862.5262794717125, 44.40628857949955)","(327.87062137390876, 858.5874198797894)","(57.62274408509011, 577.1398483946231)","(10.83797703827727, 692.1612543829182)","(615.2234609435035, 513.0877373126106)","(993.4886364201077, 705.5331061339277)","(882.3227897764583, 932.3415015185241)"
13.0,"(60.66806826927709, 53.024948415989726)","(218.3991683654024, 96.28252929838267)","(1088.6647415384518, 186.4012412282058)","(862.5861758234504, 44.64900740252014)","(327.97860298725163, 858.3619426721167)","(57.63963036466466, 577.17414915265)","(11.028787153085883, 692.0804481110035)","(615.232343638786, 513.3072986260476)","(993.4461932380071, 705.4954406032581)","(882.1161758275761, 932.2647940109315)"
14.0,"(60.594727927930705, 53.01982367390978)","(218.5771725235754, 96.27111665189075)","(1088.9076881783576, 186.34227572847462)","(862.6460721751882, 44.89172622554073)","(328.0865846005945, 858.136465464444)","(57.65643221284134, 577.2082784068867)","(11.218643217320453, 692.0000458704485)","(615.2411819205921, 513.5257621329173)","(993.4039622718171, 705.4579634002419)","(881.9105949484382, 932.1884700408768)"
