time,position 0,position 1,position 2
1.0,"(639.0277350098113, 765.9583974852831)","(247.02287535216809, 719.9555397001451)","(334.96283529268766, 265.96655176341886)"
2.0,"(639.0554700196226, 765.9167949705661)","(247.07686254984392, 719.950220849792)","(334.96328162526265, 265.9001579705578)"
3.0,"(639.1109400392451, 765.8335899411323)","(247.16194582773494, 719.9840559749108)","(335.001346772983, 265.800827499858)"
4.0,"(639.2125099795579, 765.7697445943494)","(247.27810939940798, 720.0570576078957)","(335.07703851438504, 265.66856923773634)"
5.0,"(639.3601761027846, 765.7252678283295)","(247.42533744350143, 720.1692382984654)","(335.19036463490994, 265.50339208274096)"
6.0,"(639.5539346678672, 765.7001685441832)","(247.6036140898023, 720.3206106246347)","(335.34133293054606, 265.3053049497313)"
7.0,"(639.7937819297942, 765.6944556476112)","(247.79208542538422, 720.4848621258881)","(335.4930250475443, 265.1065852938323)"
8.0,"(640.043777772373, 765.6930138801778)","(247.98055676096612, 720.6491136271414)","(335.6447171645425, 264.90786563793336)"
9.0,"(640.2937736149518, 765.6915721127443)","(248.16902809654803, 720.8133651283948)","(335.7964092815407, 264.7091459820344)"
10.0,"(640.5437694575305, 765.6901303453109)","(248.35749943212994, 720.9776166296482)","(335.94810139853894, 264.5104263261354)"
11.0,"(640.7937653001093, 765.6886885778774)","(248.54597076771185, 721.1418681309016)","(336.09979351553716, 264.31170667023645)"
12.0,"(641.043761142688, 765.687246810444)","(248.73444210329376, 721.306119632155)","(336.2514856325354, 264.1129870143375)"
13.0,"(641.2937569852668, 765.6858050430105)","(248.92291343887567, 721.4703711334083)","(336.4031777495336, 263.9142673584385)"
14.0,"(641.5437528278455, 765.6843632755771)","(249.11138477445758, 721.6346226346617)","(336.5548698665318, 263.71554770253954)"
15.0,"(641.7937486704243, 765.6829215081436)","(249.29985611003949, 721.7988741359151)","(336.70656198353004, 263.51682804664057)"
16.0,"(642.043744513003, 765.6814797407102)","(249.4883274456214, 721.9631256371684)","(336.85825410052826, 263.3181083907416)"
17.0,"(642.2937403555818, 765.6800379732767)","(249.6767987812033, 722.1273771384218)","(337.0099462175265, 263.11938873484263)"
18.0,"(642.5437361981606, 765.6785962058433)","(249.8652701167852, 722.2916286396752)","(337.1616383345247, 262.92066907894366)"
19.0,"(642.7937320407393, 765.6771544384098)","(250.05374145236712, 722.4558801409286)","(337.3133304515229, 262.7219494230447)"
20.0,"(643.0437278833181, 765.6757126709764)","(250.24221278794903, 722.620131642182)","(337.46502256852114, 262.5232297671457)"
21.0,"(643.2937237258968, 765.674270903543)","(250.43068412353094, 722.7843831434353)","(337.61671468551936, 262.32451011124675)"
22.0,"(643.5437195684756, 765.6728291361095)","(250.61915545911285, 722.9486346446887)","(337.7684068025176, 262.1257904553478)"
23.0,"(643.7937154110543, 765.671387368676)","(250.80762679469476, 723.1128861459421)","(337.9200989195158, 261.9270707994488)"
24.0,"(644.0437112536331, 765.6699456012426)","(250.99609813027666, 723.2771376471954)","(338.071791036514, 261.72835114354984)"
25.0,"(644.2937070962118, 765.6685038338092)","(251.18456946585857, 723.4413891484488)","(338.22348315351223, 261.5296314876509)"
26.0,"(644.5437029387906, 765.6670620663757)","(251.37304080144048, 723.6056406497022)","(338.37517527051045, 261.3309118317519)"
27.0,"(644.7936987813694, 765.6656202989423)","(251.5615121370224, 723.7698921509556)","(338.5268673875087, 261.13219217585294)"
28.0,"(645.0436946239481, 765.6641785315088)","(251.7499834726043, 723.934143652209)","(338.6785595045069, 260.93347251995397)"
29.0,"(645.2936904665269, 765.6627367640754)","(251.9384548081862, 724.0983951534623)","(338.8302516215051, 260.734752864055)"
30.0,"(645.5436863091056, 765.6612949966419)","(252.12692614376812, 724.2626466547157)","(338.98194373850333, 260.536033208156)"
31.0,"(645.7936821516844, 765.6598532292085)","(252.31539747935003, 724.4268981559691)","(339.13363585550155, 260.33731355225706)"
32.0,"(646.0436779942631, 765.658411461775)","(252.50386881493193, 724.5911496572224)","(339.2853279724998, 260.1385938963581)"
33.0,"(646.2936738368419, 765.6569696943416)","(252.69234015051384, 724.7554011584758)","(339.437020089498, 259.9398742404591)"
34.0,"(646.5436696794206, 765.6555279269081)","(252.88081148609575, 724.9196526597292)","(339.5887122064962, 259.74115458456015)"
35.0,"(646.7936655219994, 765.6540861594747)","(253.06928282167766, 725.0839041609826)","(339.74040432349443, 259.5424349286612)"
36.0,"(647.0436613645782, 765.6526443920412)","(253.25775415725957, 725.248155662236)","(339.89209644049265, 259.3437152727622)"
37.0,"(647.2936572071569, 765.6512026246078)","(253.44622549284148, 725.4124071634893)","(340.04378855749087, 259.14499561686324)"
38.0,"(647.5436530497357, 765.6497608571743)","(253.6346968284234, 725.5766586647427)","(340.1954806744891, 258.9462759609643)"
39.0,"(647.7936488923144, 765.6483190897409)","(253.8231681640053, 725.7409101659961)","(340.3471727914873, 258.7475563050653)"
40.0,"(648.0436447348932, 765.6468773223074)","(254.0116394995872, 725.9051616672494)","(340.49886490848553, 258.54883664916633)"
41.0,"(648.2936405774719, 765.645435554874)","(254.2001108351691, 726.0694131685028)","(340.65055702548375, 258.35011699326736)"
42.0,"(648.5436364200507, 765.6439937874405)","(254.38858217075102, 726.2336646697562)","(340.80224914248197, 258.1513973373684)"
43.0,"(648.7936322626294, 765.6425520200071)","(254.57705350633293, 726.3979161710096)","(340.9539412594802, 257.9526776814694)"
44.0,"(649.0436281052082, 765.6411102525736)","(254.76552484191484, 726.562167672263)","(341.1056333764784, 257.75395802557045)"
45.0,"(649.293623947787, 765.6396684851402)","(254.95399617749675, 726.7264191735163)","(341.2573254934766, 257.5552383696715)"
