time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9
1.0,"(115.04951264593554, 50.00696404282455)","(1382.9513046462769, 154.01134735765658)","(1137.9609236216434, 352.9688064645395)","(1275.950273224021, 226.99478006219005)","(18.03628350616722, 854.0344021391808)","(887.0260213870914, 753.9573047143839)","(139.03547068997622, 345.0352396105627)","(805.0496964190189, 133.9944985514001)","(117.04009414138066, 144.02987406612678)","(1202.951680307448, 227.01285329964188)"
2.0,"(115.06064319435681, 50.04597203344594)","(1382.876969187231, 154.06562005746704)","(1137.968491571173, 352.9556214458428)","(1275.8878787620874, 227.0379288098342)","(18.113319204237413, 854.0398343136549)","(887.0650021672084, 753.962900775119)","(139.10491347341517, 345.03379275405973)","(805.1010046033607, 134.03897111817366)","(117.03079051228319, 144.05201119023567)","(1202.9136963722735, 227.07462665774074)"
3.0,"(115.0333817744677, 50.11701214496579)","(1382.7769990151617, 154.16282131989269)","(1138.022699950127, 352.96045503816714)","(1275.812830938733, 227.1294499922398)","(18.2311014615051, 854.0162886014986)","(887.1169296384282, 754.0167915890835)","(139.20831359659402, 344.9956457738814)","(805.1539050778649, 134.13341832463615)","(116.972091326391, 144.06639725190516)","(1202.8860644834135, 227.18531662996102)"
4.0,"(114.96771851193773, 50.22007253883585)","(1382.6513995269602, 154.30295436721715)","(1138.1235448547413, 352.98331734298876)","(1275.7251440943478, 227.26934735832486)","(18.38962463980005, 853.9637570763668)","(887.1817910900434, 754.1189805619273)","(139.34565628203936, 344.92078500246885)","(805.2083783443676, 134.27784078822984)","(116.86399880315179, 144.07301812035584)","(1202.8688009462762, 227.3449197628086)"
5.0,"(114.86364352077904, 50.35514135509366)","(1382.5001761259825, 154.4860224246621)","(1138.2710223703098, 353.0242184835715)","(1275.6248325936403, 227.4576246588119)","(18.588883093286647, 853.8822318044082)","(887.2595737934, 754.2694711005163)","(139.51692671679373, 344.80919675051626)","(805.2644048666972, 134.47223911996343)","(116.70651517051289, 144.0718596371454)","(1202.8619220934359, 227.55343259134168)"
6.0,"(114.7211468951784, 50.52220670251987)","(1382.342450769346, 154.67998817389096)","(1138.465128565471, 353.08316861967796)","(1275.5150524596422, 227.68223169828158)","(18.817072402269865, 853.7801061990697)","(887.350264992679, 754.4682666153813)","(139.719906637621, 344.6632544614395)","(805.3219318048585, 134.71553040913298)","(116.49964266770107, 144.06290759871018)","(1202.8638648558413, 227.80342504257618)"
7.0,"(114.55496843143943, 50.708981214135754)","(1382.1847254127094, 154.8739539231198)","(1138.7032918452157, 353.159183435216)","(1275.405272325644, 227.90683873775126)","(19.045261711253083, 853.6779805937311)","(887.4491792026128, 754.6978662213764)","(139.92288655844825, 344.5173121723628)","(805.3794587430199, 134.95882169830253)","(116.25013565532849, 144.04721521912924)","(1202.8658076182467, 228.05341749381068)"
8.0,"(114.38878996770046, 50.89575572575164)","(1382.027000056073, 155.06791967234867)","(1138.9414551249604, 353.235198250754)","(1275.295492191646, 228.13144577722093)","(19.2734510202363, 853.5758549883926)","(887.5480934125466, 754.9274658273716)","(140.12586647927552, 344.37136988328604)","(805.4369856811812, 135.20211298747208)","(116.00062864295592, 144.0315228395483)","(1202.867750380652, 228.3034099450452)"
9.0,"(114.22261150396149, 51.08253023736753)","(1381.8692746994363, 155.26188542157752)","(1139.179618404705, 353.31121306629205)","(1275.1857120576478, 228.3560528166906)","(19.50164032921952, 853.4737293830541)","(887.6470076224804, 755.1570654333668)","(140.32884640010278, 344.2254275942093)","(805.4945126193426, 135.44540427664163)","(115.75112163058334, 144.01583045996736)","(1202.8696931430575, 228.5534023962797)"
10.0,"(114.05643304022252, 51.269304748983416)","(1381.7115493427998, 155.45585117080637)","(1139.4177816844497, 353.3872278818301)","(1275.0759319236497, 228.58065985616028)","(19.729829638202737, 853.3716037777156)","(887.7459218324142, 755.386665039362)","(140.53182632093004, 344.07948530513255)","(805.5520395575039, 135.68869556581117)","(115.50161461821077, 144.00013808038642)","(1202.8716359054629, 228.8033948475142)"
11.0,"(113.89025457648354, 51.4560792605993)","(1381.5538239861633, 155.64981692003522)","(1139.6559449641943, 353.4632426973681)","(1274.9661517896516, 228.80526689562996)","(19.958018947185955, 853.269478172377)","(887.844836042348, 755.6162646453572)","(140.7348062417573, 343.9335430160558)","(805.6095664956653, 135.93198685498072)","(115.25210760583819, 143.98444570080548)","(1202.8735786678683, 229.0533872987487)"
12.0,"(113.72407611274457, 51.64285377221519)","(1381.3960986295267, 155.84378266926407)","(1139.894108243939, 353.53925751290615)","(1274.8563716556534, 229.02987393509963)","(20.186208256169174, 853.1673525670385)","(887.9437502522818, 755.8458642513524)","(140.93778616258456, 343.78760072697906)","(805.6670934338266, 136.17527814415027)","(115.00260059346562, 143.96875332122454)","(1202.8755214302737, 229.3033797499832)"
13.0,"(113.5578976490056, 51.829628283831084)","(1381.2383732728902, 156.03774841849292)","(1140.1322715236836, 353.6152723284442)","(1274.7465915216553, 229.2544809745693)","(20.41439756515239, 853.0652269617)","(888.0426644622156, 756.0754638573476)","(141.14076608341182, 343.6416584379023)","(805.724620371988, 136.41856943331982)","(114.75309358109304, 143.9530609416436)","(1202.877464192679, 229.5533722012177)"
