time,position 0,position 1,position 2,position 3,position 4,position 5,position 6,position 7,position 8,position 9,position 10,position 11,position 12,position 13,position 14,position 15,position 16,position 17,position 18,position 19,position 20,position 21,position 22,position 23,position 24,position 25,position 26,position 27,position 28,position 29,position 30,position 31,position 32,position 33,position 34,position 35,position 36,position 37,position 38,position 39,position 40,position 41,position 42,position 43,position 44,position 45,position 46,position 47,position 48,position 49
1.0,"(317.01631687299806, 12.047262666615051)","(525.0190950997415, 181.9537898586254)","(424.9549873720716, 36.02176840203094)","(109.99775507515953, 367.95005042229946)","(407.9887328235915, 468.95128603141006)","(286.0444619058866, 99.02287223043203)","(552.9544039247412, 357.9794817661336)","(360.9505303823046, 90.00726339624893)","(616.0466906827443, 89.98211201115639)","(725.9509173936675, 358.00953403144587)","(513.027930018974, 312.04147184635525)","(321.0393095716722, 395.9691008483135)","(225.0297682888162, 459.9598272607238)","(474.9749951378222, 51.04329846264556)","(449.9523924604469, 73.98471856755084)","(696.9502252263703, 145.0047404546314)","(190.04549095241467, 78.02075025899616)","(310.9947657607741, 35.04972527264607)","(748.9500001384077, 66.99988235326684)","(746.9500112698726, 216.00106153674017)","(606.019311932588, 453.9538800557273)","(190.97944658234, 122.04558022622248)","(284.98845051971495, 320.95135218910224)","(548.0300829228084, 251.03993767338366)","(776.9550009338088, 57.02179642268635)","(494.9520632357902, 188.9857849855049)","(692.9682654034425, 373.961361736823)","(581.0299756487387, 57.040018251869505)","(789.957098718938, 88.02568034429764)","(692.9878732187482, 23.048507125007266)","(547.9541833013144, 267.0200207422828)","(418.95646311054037, 293.0245873800186)","(327.0315296312547, 142.9611942999942)","(299.036677213931, 381.9660179168052)","(472.9989073648075, 370.95001193994227)","(29.031094107180078, 319.96084445762506)","(495.02220195380124, 83.04480037106327)","(794.9504684947408, 228.00682861528816)","(540.9509338618028, 319.0096184241131)","(180.04858619718294, 140.01180599183886)","(557.9869074456973, 364.9517445855698)","(764.9522726456225, 338.0149030078886)","(139.0370020923126, 120.03362804134186)","(220.00162704484498, 91.04997352023895)","(522.9624399047284, 341.9669963753023)","(578.9821649217184, 2.0467109193089685)","(419.0453390307357, 339.02108013975163)","(758.9504421023641, 415.99336563628424)","(652.019427662355, 475.9539286864153)","(210.04544750142904, 91.02084525398878)"
2.0,"(317.0326337459961, 12.094525333230102)","(524.9897537527962, 181.91998578964916)","(424.90997474414326, 36.04353680406189)","(110.03404104648429, 367.9319657161773)","(407.92887071913856, 468.91434206572416)","(286.08892381177316, 99.04574446086406)","(552.9088078494824, 357.95896353226715)","(360.90106076460916, 90.01452679249786)","(616.0933813654885, 89.96422402231278)","(725.901834787335, 358.01906806289173)","(513.0558600379479, 312.0829436927105)","(321.07861914334444, 395.93820169662695)","(225.0278276464439, 459.88099519291114)","(474.9499902756444, 51.08659692529112)","(449.9047849208938, 73.96943713510169)","(696.9004504527406, 145.00948090926278)","(190.09098190482933, 78.04150051799232)","(310.9895315215482, 35.09945054529214)","(748.9000002768155, 66.99976470653368)","(746.9049244168855, 216.05188220932993)","(605.9961067895464, 453.8814485497392)","(190.95889316467998, 122.09116045244497)","(284.9769010394299, 320.9027043782045)","(548.0601658456169, 251.07987534676732)","(776.9100018676177, 57.0435928453727)","(494.9041264715804, 188.97156997100979)","(692.936530806885, 373.922723473646)","(581.0599512974775, 57.08003650373901)","(789.914197437876, 88.05136068859528)","(692.9757464374964, 23.09701425001453)","(547.9083666026288, 267.04004148456556)","(418.87164779012295, 293.0209596729796)","(327.06637198309846, 142.89638832849423)","(299.0570350782481, 381.97929764513066)","(472.997814729615, 370.90002387988454)","(29.098265714559982, 319.95630703159594)","(495.0444039076025, 83.08960074212655)","(794.9009369894816, 228.0136572305763)","(540.9018677236056, 319.0192368482262)","(180.09717239436588, 140.0236119836777)","(557.9667659866648, 364.95298980691445)","(764.9045452912451, 338.02980601577724)","(139.0740041846252, 120.06725608268371)","(220.00325408968996, 91.0999470404779)","(522.9248798094568, 341.9339927506046)","(578.9643298434369, 2.093421838617937)","(419.0906780614714, 339.04216027950326)","(758.9008842047283, 415.9867312725685)","(652.0063595201875, 475.9458576713614)","(210.09089500285808, 91.04169050797756)"
3.0,"(317.06526749199224, 12.189050666460203)","(524.9448049840322, 181.89038586070092)","(424.8199494882865, 36.08707360812377)","(110.1088481982084, 367.9457576262594)","(407.8204205596479, 468.8891964434665)","(286.17784762354626, 99.0914889217281)","(552.8176156989649, 357.9179270645343)","(360.8021215292183, 90.02905358499572)","(616.1867627309772, 89.92844804462557)","(725.80366957467, 358.03813612578347)","(513.1117200758958, 312.165887385421)","(321.1572382866889, 395.8764033932539)","(224.9940757125378, 459.7635879811461)","(474.89998055128876, 51.17319385058224)","(449.80956984178755, 73.93887427020339)","(696.8009009054813, 145.01896181852558)","(190.18196380965864, 78.08300103598464)","(310.9790630430964, 35.198901090584286)","(748.800000553631, 66.99952941306736)","(746.8649682005732, 216.1524389509975)","(605.9303372815986, 453.78278205108614)","(190.91778632935996, 122.18232090488995)","(284.9538020788597, 320.80540875640895)","(548.1203316912338, 251.15975069353465)","(776.8200037352353, 57.0871856907454)","(494.8082529431609, 188.94313994201957)","(692.87306161377, 373.845446947292)","(581.119902594955, 57.16007300747801)","(789.8283948757522, 88.10272137719055)","(692.9514928749927, 23.194028500029063)","(547.8167332052576, 267.0800829691311)","(418.74561240164, 292.98903168345663)","(327.101040123183, 142.83190638685176)","(299.0937104141759, 381.9453135350999)","(472.99562945923, 370.8000477597691)","(29.201428966537968, 319.9864769753768)","(495.08880781520503, 83.17920148425308)","(794.801873978963, 228.02731446115266)","(540.8037354472114, 319.0384736964524)","(180.1943447887318, 140.04722396735542)","(557.9396104722849, 365.00374061408115)","(764.8090905824902, 338.0596120315545)","(139.14800836925042, 120.13451216536741)","(220.00650817937995, 91.19989408095579)","(522.8497596189136, 341.8679855012092)","(578.9286596868736, 2.186843677235874)","(419.18135612294276, 339.0843205590065)","(758.8017684094566, 415.97346254513695)","(651.9608462264916, 475.9758302121653)","(210.18179000571615, 91.08338101595514)"
4.0,"(317.0815843649903, 12.236313333075254)","(524.9639328791227, 181.84418928475196)","(424.77493686035814, 36.10884201015471)","(110.22216680398712, 367.99143790266226)","(407.66338924722436, 468.8758775527824)","(286.22230952943283, 99.11436115216013)","(552.7720196237061, 357.89740883066787)","(360.7526519115229, 90.03631698124465)","(616.2353607191012, 89.914908278662)","(725.7545869683375, 358.04767015722933)","(513.1396500948698, 312.20735923177625)","(321.25145209525544, 395.8420213762876)","(224.9341053339751, 459.6147700412404)","(474.87497568911095, 51.216492313227796)","(449.7353001342328, 73.95371285253502)","(696.7511261318516, 145.02370227315697)","(190.2274547620733, 78.1037512949808)","(310.9738288038705, 35.24862636323036)","(748.7500006920387, 66.9994117663342)","(746.8256433595703, 216.2566767562425)","(605.8219286590473, 453.6580022243067)","(190.89723291169994, 122.22790113111243)","(284.94225259857467, 320.7567609455112)","(548.1504146140422, 251.1996883669183)","(776.7750046690442, 57.10898211343175)","(494.75114177543577, 188.88312701586347)","(692.8021925237424, 373.8176198044092)","(581.1498782436937, 57.200091259347516)","(789.7608128771468, 88.20064397151434)","(692.938683141118, 23.242369977507888)","(547.770916506572, 267.1001037114139)","(418.57846706639026, 292.9286436820428)","(327.1355349225671, 142.7677468549175)","(299.16706108603154, 381.87734531503844)","(472.9945368240375, 370.75005969971136)","(29.34041030496295, 320.05153337330927)","(495.1110097690063, 83.22400185531636)","(794.719587571698, 227.99387025243803)","(540.7546693090142, 319.0480921205655)","(180.24293098591474, 140.05902995919428)","(557.9054952088743, 365.1040046709233)","(764.7200451295777, 338.1193139713967)","(139.18501046156302, 120.16814020670927)","(220.05895962757756, 91.2909181221694)","(522.812199523642, 341.8349818765115)","(578.9108246085921, 2.2335545965448427)","(419.22669515367846, 339.10540069875816)","(758.7522105118207, 415.9668281814212)","(651.9110419953591, 476.0109510611045)","(210.2591407259055, 91.17320210056533)"
5.0,"(317.1142181109864, 12.330838666305354)","(525.0021886693037, 181.75179613285408)","(424.6849116045014, 36.15237881421659)","(110.37398711895213, 368.06901831056535)","(407.4577837211374, 468.8744138620957)","(286.31123334120593, 99.16010561302417)","(552.6808274731886, 357.856372362935)","(360.65371267613205, 90.05084377374251)","(616.2391711459742, 89.92359629615028)","(725.6564217556726, 358.06673822012107)","(513.1955101328177, 312.29030292448675)","(321.2907599037519, 395.81111998163937)","(224.87443480730525, 459.4666961910342)","(474.82496596475534, 51.303089238518915)","(449.6820174283241, 74.0139336534319)","(696.6515765845922, 145.03318318241978)","(190.3184366669026, 78.14525181297311)","(310.9633603254187, 35.3480769085225)","(748.6500009688542, 66.99917647286789)","(746.7865151427725, 216.3603933724613)","(605.6828190157521, 453.5147122131852)","(190.85612607637992, 122.31906158355741)","(284.9191536380045, 320.65946532371566)","(548.2105804596591, 251.27956371368563)","(776.6850065366618, 57.15257495880445)","(494.70320379242133, 188.8689161121446)","(692.7240702763688, 373.83926378147044)","(581.2098295411712, 57.28012776308652)","(789.7116082559133, 88.34506680240662)","(692.9373200208671, 23.242039337336617)","(547.6792831092008, 267.14014519597947)","(418.4055747310583, 292.8640004636326)","(327.16985724795427, 142.70390812064292)","(299.2037364219594, 381.8433612050077)","(472.99235155365244, 370.6500835795959)","(29.478708253438136, 320.1162757064427)","(495.1554136766088, 83.3136025974429)","(794.6541804377662, 227.9133612996814)","(540.6565370326199, 319.0673289687917)","(180.34010338028065, 140.082641942872)","(557.8924240296639, 365.05574346213143)","(764.672316918795, 338.13421423634344)","(139.25901464618823, 120.23539628939297)","(220.06057516619174, 91.34089201570379)","(522.7370793330988, 341.7689746271161)","(578.8751544520288, 2.3269764351627797)","(419.3173732151498, 339.1475609782614)","(758.653094716549, 415.95355945398967)","(651.8614867853823, 476.045896305799)","(210.30459072460744, 91.19404190905757)"
6.0,"(317.1305349839845, 12.378101332920405)","(525.0007172711796, 181.68976332531147)","(424.639898976573, 36.17414721624753)","(110.56429937170032, 368.17851063984114)","(407.2079588600723, 468.8837700789497)","(286.3556952470925, 99.1829778434562)","(552.639489575138, 357.8191508016186)","(360.6042430584366, 90.05810716999144)","(616.1981898333366, 89.95450367617721)","(725.6073391493401, 358.07627225156693)","(513.2234401517917, 312.331774770842)","(321.3693755207448, 395.74931719234286)","(224.81506263326872, 459.319362710079)","(474.7999611025775, 51.346387701164474)","(449.64976335547635, 74.11951739726233)","(696.5062645350101, 145.02251977781577)","(190.36392761931728, 78.16600207196927)","(310.97471381965073, 35.49251413526799)","(748.600001107262, 66.99905882613473)","(746.7475825670587, 216.46359140559898)","(605.5444049206733, 453.37213865211925)","(190.8355726587199, 122.3646418097799)","(284.90760415771945, 320.6108175128179)","(548.3141912504382, 251.33468958086533)","(776.6400074704707, 57.1743713814908)","(494.60732782639246, 188.84049430470685)","(692.638939862617, 373.91041417835794)","(581.2398051899099, 57.32014601495602)","(789.681020814115, 88.53589438122283)","(692.9474082019709, 23.193037682204842)","(547.6334664105152, 267.16016593826225)","(418.36206955307597, 292.88864391080875)","(327.2040079617145, 142.6403885800397)","(299.277087093815, 381.7753929849462)","(472.99125891845995, 370.6000955195382)","(29.616314712170944, 320.1806943279105)","(495.17761563041006, 83.35840296850617)","(794.6057888234632, 227.78583668898236)","(540.6074708944227, 319.0769473929048)","(180.40196613147663, 140.0708529505856)","(557.8662816712431, 364.95922104454775)","(764.5768604972296, 338.16401476623685)","(139.29601673850084, 120.26902433073482)","(220.06380624342012, 91.44083980277256)","(522.6995192378272, 341.7359710024184)","(578.8573193737473, 2.3736873544717483)","(419.36142160855564, 339.2077676994112)","(758.6035368189132, 415.9469250902739)","(651.8121793514555, 476.08066682427)","(210.39549072201132, 91.23572152604206)"
7.0,"(317.1631687299806, 12.472626666150505)","(524.9596576474464, 181.65827184048294)","(424.5498737207163, 36.21768402030941)","(110.77833996210965, 368.3076873624239)","(406.95813399900726, 468.89312629580365)","(286.4446190588656, 99.22872230432024)","(552.6480039320941, 357.78577016086234)","(360.5053038230458, 90.0726339624893)","(616.1124126002649, 90.00762198847731)","(725.5091739366751, 358.09534031445867)","(513.2793001897396, 312.4147184635525)","(321.4625286431411, 395.71557060638116)","(224.75598732010238, 459.17276589652863)","(474.7499513782219, 51.43298462645559)","(449.6385795977749, 74.27044473843168)","(696.3287332123351, 144.9974071789267)","(190.4549095241466, 78.20750258996159)","(311.00791315958264, 35.68192645540589)","(748.5000013840774, 66.99882353266841)","(746.7088446542234, 216.56627344857097)","(605.4066828960699, 453.23027795885866)","(190.7944658233999, 122.45580226222488)","(284.8845051971493, 320.5135218910224)","(548.4610519815316, 251.36472675212823)","(776.5500093380883, 57.2179642268635)","(494.4911183915725, 188.76639372706978)","(692.5507451633039, 374.00586210746616)","(581.2997564873874, 57.400182518695026)","(789.6676157100444, 88.76821490931671)","(692.962671160961, 23.12207249379382)","(547.541833013144, 267.2002074228278)","(418.2750591971113, 292.9379308051611)","(327.2379879219059, 142.5771866371395)","(299.32932359687373, 381.7527479584617)","(472.9890736480749, 370.5001193994227)","(29.75323313861009, 320.2447908562709)","(495.2220195380126, 83.4480037106327)","(794.5746160907925, 227.61137051764314)","(540.5093386180284, 319.09618424113097)","(180.43995630081923, 140.03549868583266)","(557.8532104920326, 364.9109598357559)","(764.529132286447, 338.1789150311836)","(139.37002092312605, 120.33628041341852)","(220.0654217820343, 91.49081369630694)","(522.624399047284, 341.669963753023)","(578.821649217184, 2.4671091930896853)","(419.358822914528, 339.2859757881194)","(758.5044210236415, 415.9336563628424)","(651.7631184546982, 476.11526349014866)","(210.44094072071326, 91.2565613345343)"
8.0,"(317.1794856029787, 12.519889332765556)","(524.9148593592092, 181.6299804812805)","(424.4337024974162, 36.30383993260288)","(110.992380552519, 368.4368640850067)","(406.7083091379422, 468.9024825126576)","(286.4890809647522, 99.25159453475227)","(552.7063685340501, 357.7562564405155)","(360.4285133500742, 90.04233406290204)","(615.9818352548536, 90.08294277663887)","(725.4600913303426, 358.10487434590453)","(513.3072302087136, 312.45619030990775)","(321.5018346960608, 395.6846669786997)","(224.69720738350188, 459.02690206704597)","(474.7249465160441, 51.47628308910115)","(449.64850793761997, 74.46669623802879)","(696.2789592239393, 145.0021558712915)","(190.50040047656125, 78.22825284895775)","(311.0629822898432, 35.91630223038195)","(748.4500015224852, 66.99870588593525)","(746.6703004309522, 216.66844208132812)","(605.2696494815896, 453.0891265690644)","(190.7046931319983, 122.53548950884722)","(284.9103549482939, 320.42642546632584)","(548.6187467216239, 251.3879031183676)","(776.5050102718972, 57.23976064954985)","(494.3546392481413, 188.6465860502815)","(692.4629914374874, 374.10083279692884)","(581.3162587781638, 57.50496137108345)","(789.6542776314942, 88.99937383477013)","(692.9778578051562, 23.05146213132485)","(547.4960163144584, 267.2202281651106)","(418.23155401912896, 292.9625742523373)","(327.2717979822964, 142.5143007039538)","(299.3604000003204, 381.7754046999825)","(472.9879810128824, 370.450131339365)","(29.889466972917038, 320.3085669019896)","(495.24422149181385, 83.49280408169598)","(794.5610654884061, 227.39011267477744)","(540.430794205012, 319.06941765896016)","(180.47775651931514, 140.0003211924035)","(557.8270681336119, 364.8144374181722)","(764.4336758648816, 338.208715561077)","(139.40702301543865, 120.36990845476038)","(220.06865285926267, 91.59076148337572)","(522.5868389520124, 341.6369601283253)","(578.8038141389025, 2.513820112398654)","(419.30955974973654, 339.3821401339079)","(758.4548631260056, 415.9270219991266)","(651.7143028624247, 476.1496871726979)","(210.53184071811714, 91.29824095151878)"
9.0,"(317.2121193489748, 12.614414665995657)","(524.8702850624131, 181.60183057887411)","(424.29140255461857, 36.43262552959392)","(111.20642114292833, 368.56604080758945)","(406.45848427687713, 468.9118387295116)","(286.5780047765253, 99.29733899561631)","(552.8145813553814, 357.7306356657248)","(360.3739986202349, 89.96727043616985)","(615.8064535857997, 90.18045754107587)","(725.3619261176776, 358.12394240879627)","(513.3630902466615, 312.53913400261825)","(321.58044680190017, 395.6228597233367)","(224.63872134658436, 458.8817675567107)","(474.6749367916885, 51.56288001439227)","(449.67959030791684, 74.70825233999304)","(696.1794112471478, 145.0116532560211)","(190.59138238139056, 78.26975336695007)","(311.12219641830876, 36.15918839093884)","(748.3500017993007, 66.99847059246893)","(746.6319489287974, 216.77009987092148)","(605.1333012341817, 452.94868093621903)","(190.68414513186306, 122.58107217759799)","(284.98508756486854, 320.3498392969712)","(548.7756529880157, 251.41096360277575)","(776.4150121395148, 57.28335349492255)","(494.1979545362242, 188.48104288396752)","(692.3756764803, 374.1953286329442)","(581.2892688044626, 57.63440645404346)","(789.6410062433367, 89.22937696559627)","(692.9657345548028, 23.099970138920185)","(547.4043829170872, 267.26026964967616)","(418.1445436631643, 293.0118611466896)","(327.3054389923849, 142.45172920043404)","(299.37025362597217, 381.84333388016825)","(472.9857957424974, 370.35015521924953)","(30.025019638052452, 320.37202406747963)","(495.2886253994164, 83.58240482382251)","(794.5482601609641, 227.16816211140355)","(540.3817290374982, 319.079041033464)","(180.51536773671856, 139.9653195864415)","(557.8139969544014, 364.7661762093803)","(764.3859476540989, 338.2236158260237)","(139.48102720006386, 120.43716453744408)","(220.07026839787684, 91.6407353769101)","(522.5117187614692, 341.5709528789299)","(578.7681439823392, 2.607241951016591)","(419.2136147447534, 339.49621553204724)","(758.355747330734, 415.9137532716951)","(651.6657313481126, 476.1839387368344)","(210.57729071681908, 91.31908076001102)"
10.0,"(317.2920800806448, 12.692810633862416)","(524.8259336371011, 181.57382142597973)","(424.12299118632603, 36.60405140635216)","(111.42046173333767, 368.6952175301722)","(406.20865941581206, 468.9211949463656)","(286.6175817675727, 99.33502794381732)","(552.9726403516776, 357.7089339267053)","(360.34195341373373, 89.84754003743704)","(615.5874213178706, 90.29955525337049)","(725.2767939825019, 358.0947389594768)","(513.3910202656355, 312.5806058489735)","(321.67254456789067, 395.58974542472004)","(224.58052773985145, 458.73735871892717)","(474.6741510261341, 51.65825201118919)","(449.713540910501, 74.95593632531339)","(696.1296372587519, 145.01640194838592)","(190.63687333380523, 78.29050362594623)","(311.1814105467743, 36.40207455149572)","(748.3000019377084, 66.99835294573577)","(746.5937891841535, 216.87124937156688)","(604.9976347280108, 452.80893753153794)","(190.6430491315926, 122.67223751509952)","(285.0801621270442, 320.27809010048634)","(548.9317747230757, 251.43390878476188)","(776.3195387876648, 57.277247024688485)","(494.0318836977418, 188.29417267070235)","(692.2887980978984, 374.2893519897795)","(581.2187433230899, 57.7884413635946)","(789.6278012121201, 89.45823008076829)","(692.941488054096, 23.196986154110856)","(547.3585662184016, 267.28029039195894)","(418.0688209448485, 293.0218018409562)","(327.33891179742295, 142.38947055443188)","(299.3587852335664, 381.95648884443733)","(472.9847031073049, 370.3001671591918)","(30.15989453986219, 320.43516394714226)","(495.3566326347926, 83.62792742036638)","(794.5355188601593, 226.94732130084654)","(540.2835987024706, 319.09828778247174)","(180.55279089803497, 139.9304929885093)","(557.7878545959807, 364.66965379179663)","(764.2904912325336, 338.2534163559171)","(139.51802929237647, 120.47079257878593)","(220.07349947510522, 91.74068316397887)","(522.4741586661976, 341.5379492542322)","(578.6907856359877, 2.7282698547684325)","(419.07097052196485, 339.6281566251456)","(758.3061894330981, 415.90711890797934)","(651.617402691372, 476.21801904315026)","(210.66819071422296, 91.3607603769955)"
